Soil_Type,Footing_Type,Cohesion_c,Angle_of_Friction_phi,Unit_Weight_gamma,Depth_of_Foundation_Df,Width_B,Factor_of_Safety,Nc,Nq,N_gamma,Ultimate_Bearing_Capacity_qu,Safe_Bearing_Capacity_qs
Alluvial,Combined,18.67,20,17.85,2.07,1.48,3.0,14.83,6.4,5.39,584.55,194.85
Clayey Loam,Isolated(Circular),23.03,20,18.86,1.97,1.09,3.0,14.83,6.4,5.39,634.72,211.57
Alluvial,Combined,20.1,20,17.86,0.97,1.12,3.0,14.83,6.4,5.39,462.87,154.29
Silty Clay Loam,Combined,24.73,25,18.56,0.99,1.45,2.5,20.72,10.66,10.88,854.68,341.87
Silty Clay Loam,Combined,12.56,30,17.97,1.09,1.23,3.0,30.14,18.4,22.4,986.52,328.84
Silty Clay Loam,Isolated (Square),20.94,30,17.14,2.02,1.78,3.0,30.14,18.4,22.4,1609.89,536.63
Clayey Loam,Isolated(Rectangular),13.56,30,18.35,1.23,2.8,3.0,30.14,18.4,22.4,1399.45,466.48
Clayey Loam,Combined,23.64,30,17.56,1.42,1.94,3.0,30.14,18.4,22.4,1552.86,517.62
Silty Clay Loam,Combined,15.81,20,17.49,2.31,1.55,2.5,14.83,6.4,5.39,566.09,226.44
Alluvial,Isolated(Rectangular),28.94,20,17.02,2.32,2.48,3.0,14.83,6.4,5.39,795.65,265.22
Clayey Loam,Isolated (Square),20.95,25,17.95,0.91,2.97,2.5,20.72,10.66,10.88,898.22,359.29
Alluvial,Isolated (Square),15.64,30,18.44,2.47,2.65,3.0,30.14,18.4,22.4,1856.75,618.92
Clayey Loam,Isolated (Square),29.41,20,18.04,1.55,1.66,2.5,14.83,6.4,5.39,695.81,278.32
Clayey Loam,Isolated (Square),28.46,30,17.97,2.44,2.63,2.5,30.14,18.4,22.4,2193.89,877.56
Clayey Loam,Combined,29.43,30,18.46,2.16,2.51,3.0,30.14,18.4,22.4,2139.64,713.21
Alluvial,Strip,10.98,20,17.6,1.79,1.47,2.5,14.83,6.4,5.39,434.18,173.67
Clayey Loam,Combined,21.29,30,17.88,1.75,1.24,3.0,30.14,18.4,22.4,1465.73,488.58
Silty Clay Loam,Isolated (Square),10.33,30,17.36,1.14,2.78,3.0,30.14,18.4,22.4,1216.01,405.34
Silty Clay Loam,Isolated(Rectangular),11.44,25,18.98,1.09,1.47,3.0,20.72,10.66,10.88,609.35,203.12
Alluvial,Combined,24.84,25,18.35,1.2,2.61,3.0,20.72,10.66,10.88,1009.96,336.65
Clayey Loam,Isolated(Rectangular),15.65,25,18.26,2.24,2.16,3.0,20.72,10.66,10.88,974.85,324.95
Clayey Loam,Isolated(Circular),19.91,20,17.32,1.58,1.16,3.0,14.83,6.4,5.39,524.55,174.85
Clayey Loam,Isolated(Rectangular),17.73,20,17.07,1.91,1.13,2.5,14.83,6.4,5.39,523.58,209.43
Alluvial,Strip,26.57,30,17.15,2.17,2.3,3.0,30.14,18.4,22.4,1927.37,642.46
Clayey Loam,Strip,19.16,20,17.28,1.75,1.39,3.0,14.83,6.4,5.39,542.41,180.8
Silty Clay Loam,Isolated(Circular),20.82,25,17.05,1.83,1.55,3.0,20.72,10.66,10.88,907.76,302.59
Alluvial,Isolated(Circular),17.14,20,18.47,1.23,1.03,3.0,14.83,6.4,5.39,450.85,150.28
Silty Clay Loam,Isolated(Rectangular),11.3,25,18.6,1.33,1.8,2.5,20.72,10.66,10.88,679.97,271.99
Alluvial,Combined,22.59,20,17.1,2.48,2.44,3.0,14.83,6.4,5.39,718.87,239.62
Silty Clay Loam,Combined,13.11,25,17.95,2.48,2.97,2.5,20.72,10.66,10.88,1036.19,414.48
Silty Clay Loam,Isolated (Square),15.96,30,17.63,1.17,1.2,3.0,30.14,18.4,22.4,1097.52,365.84
Clayey Loam,Isolated (Square),28.58,20,17.82,2.1,2.36,3.0,14.83,6.4,5.39,776.68,258.89
Clayey Loam,Isolated (Square),21.17,20,18.72,1.84,1.21,3.0,14.83,6.4,5.39,595.44,198.48
Silty Clay Loam,Isolated (Square),15.95,25,18.03,2.19,1.51,3.0,20.72,10.66,10.88,899.51,299.84
Clayey Loam,Isolated(Circular),11.1,25,17.39,2.16,2.83,3.0,20.72,10.66,10.88,898.13,299.38
Silty Clay Loam,Isolated(Circular),22.15,20,17.93,1.75,2.43,3.0,14.83,6.4,5.39,646.72,215.57
Silty Clay Loam,Isolated (Square),12.05,30,18.06,1.2,2.74,3.0,30.14,18.4,22.4,1316.18,438.73
Clayey Loam,Strip,11.12,30,17.08,2.13,2.85,3.0,30.14,18.4,22.4,1549.75,516.58
Alluvial,Isolated (Square),27.62,25,17.37,2.0,1.47,2.5,20.72,10.66,10.88,1081.52,432.61
Silty Clay Loam,Combined,29.55,30,18.14,0.98,1.79,2.5,30.14,18.4,22.4,1581.41,632.56
Silty Clay Loam,Strip,14.51,20,17.02,0.99,2.8,3.0,14.83,6.4,5.39,451.45,150.48
Clayey Loam,Isolated(Rectangular),10.4,25,17.54,1.33,2.76,3.0,20.72,10.66,10.88,727.52,242.51
Silty Clay Loam,Isolated(Circular),22.39,20,18.19,1.85,1.97,3.0,14.83,6.4,5.39,643.99,214.66
Silty Clay Loam,Isolated (Square),13.39,30,18.06,1.73,1.57,3.0,30.14,18.4,22.4,1296.03,432.01
Alluvial,Isolated (Square),27.96,20,18.37,1.5,2.19,2.5,14.83,6.4,5.39,699.42,279.77
Silty Clay Loam,Strip,15.88,25,18.34,1.32,2.65,2.5,20.72,10.66,10.88,851.49,340.6
Silty Clay Loam,Combined,28.13,20,18.73,2.17,1.2,3.0,14.83,6.4,5.39,737.86,245.95
Clayey Loam,Strip,18.52,30,17.03,2.47,2.72,2.5,30.14,18.4,22.4,1850.97,740.39
Silty Clay Loam,Isolated (Square),10.98,30,17.94,2.16,1.68,2.5,30.14,18.4,22.4,1381.5,552.6
Silty Clay Loam,Isolated (Square),11.41,30,17.34,2.15,1.74,2.5,30.14,18.4,22.4,1367.79,547.12
Silty Clay Loam,Combined,14.93,25,17.09,1.22,1.32,3.0,20.72,10.66,10.88,654.33,218.11
Clayey Loam,Isolated (Square),23.69,30,18.13,1.16,1.79,2.5,30.14,18.4,22.4,1464.45,585.78
Alluvial,Isolated (Square),27.84,25,17.86,0.86,2.55,3.0,20.72,10.66,10.88,988.33,329.44
Silty Clay Loam,Isolated (Square),22.95,25,17.74,1.58,2.94,2.5,20.72,10.66,10.88,1058.04,423.22
Alluvial,Isolated (Square),20.31,20,18.13,1.11,1.55,3.0,14.83,6.4,5.39,505.73,168.58
